model,model_label,task,task_label,baseline_point,baseline_ci_lower,baseline_ci_upper,aperiodic_point,aperiodic_ci_lower,aperiodic_ci_upper,flattened_point,flattened_ci_lower,flattened_ci_upper,retention_aperiodic_point,retention_aperiodic_ci_lower,retention_aperiodic_ci_upper,drop_flattened_point,drop_flattened_ci_lower,drop_flattened_ci_upper
linear_ridge,Linear ridge PSD,wake_vs_sleep,Wake vs Sleep,0.939882456618098,0.9230112481242192,0.95176200612007,0.7977653721260449,0.7572335759817669,0.836382412921548,0.5,0.5,0.5,0.848792704352179,0.8177960216633456,0.8856692649759327,0.4398824566180979,0.4230112481242193,0.4517620061200699
linear_ridge,Linear ridge PSD,n2_vs_n3,N2 vs N3,0.8951978064773576,0.8578594131262693,0.9258744804449206,0.8135046937946253,0.7332792282752194,0.8902057174913892,0.5,0.5,0.5,0.9087429481041758,0.8409782634066024,0.9784598540040612,0.3951978064773576,0.3578594131262693,0.4258744804449206
linear_ridge,Linear ridge PSD,five_stage,Five-stage,0.7096276934979944,0.6787446550296635,0.7343511542295588,0.4990242960636207,0.4802650459516212,0.5149239464681326,0.2,0.2,0.2,0.703219872386549,0.6861110421140817,0.7255150422409314,0.5096276934979944,0.4787446550296635,0.5343511542295587
deep_mlp,Deep MLP PSD,wake_vs_sleep,Wake vs Sleep,0.9461925324993624,0.939474386733716,0.955097447632516,0.8117036488856663,0.7619725766406347,0.8562540737157015,0.5,0.5,0.5,0.8578630891765289,0.8066251646076353,0.9001451411905208,0.4461925324993624,0.4394743867337158,0.455097447632516
deep_mlp,Deep MLP PSD,n2_vs_n3,N2 vs N3,0.9026382444320212,0.8717684535425775,0.928643997104355,0.8419805020099593,0.7847293740110176,0.8834755951186207,0.5007148971313785,0.5,0.5021446913941354,0.9327994988067116,0.9016662024288352,0.9559081782486756,0.4019233473006426,0.369623762148442,0.4286439971043549
deep_mlp,Deep MLP PSD,five_stage,Five-stage,0.7363051825527519,0.7045121620097055,0.7688601329793292,0.5758619632663098,0.5271397580132083,0.6281485525693707,0.2,0.2,0.2,0.7820968491214615,0.7121253758297179,0.8591385447386806,0.5363051825527518,0.5045121620097055,0.5688601329793292
raw_cnn,Raw EEG CNN,wake_vs_sleep,Wake vs Sleep,0.9574132482135168,0.9438302167633914,0.9708481368357812,0.8934726432895184,0.8648428173826579,0.9274441497600644,0.5377735427396907,0.5020925646419139,0.5944872727725531,0.9332152494825944,0.9063739674647548,0.9594920228847944,0.4196397054738262,0.3632539904005288,0.4583186839196865
raw_cnn,Raw EEG CNN,n2_vs_n3,N2 vs N3,0.9363922328525404,0.9143498041768204,0.95475368335723,0.901756190869728,0.8348997022655779,0.944997529204336,0.9350671862533756,0.921881458197363,0.9482529143093884,0.9630111818876366,0.9137423086397974,0.9953457696634572,0.0013250465991647,-0.0097573168832442,0.0093865096591952
raw_cnn,Raw EEG CNN,five_stage,Five-stage,0.7747002320090969,0.7378888296615587,0.8115116343566351,0.6655247873265892,0.6387055319568129,0.7097608059887992,0.345636214432803,0.3212169045444689,0.3700555243211371,0.8590739486428529,0.7982075946607304,0.915992319553344,0.4290640175762938,0.4101381679510194,0.4516489008723902
braindecode_eegnet,Braindecode EEGNet,wake_vs_sleep,Wake vs Sleep,0.9574224727653782,0.945352225008022,0.9673569141247984,0.8942419790493232,0.8617924989637924,0.9267706878513704,0.5761255447997248,0.5379586140488526,0.6252157659007037,0.9340098070462384,0.9071818469974138,0.9668863752053596,0.3812969279656534,0.3252250434862287,0.4286534049104039
braindecode_eegnet,Braindecode EEGNet,n2_vs_n3,N2 vs N3,0.926582606609838,0.8960967227199935,0.9455337435025344,0.8860663713947057,0.8038592271735654,0.9365902055238448,0.8931323705189209,0.807192821135828,0.9420406888381576,0.9562734774793882,0.8970348095708853,0.9941876825500414,0.033450236090917,-0.001521412230467,0.0908586261128422
braindecode_eegnet,Braindecode EEGNet,five_stage,Five-stage,0.7521868986116051,0.7287043682056871,0.7747547278887212,0.6228817302284071,0.6092081475249003,0.6365553129319139,0.4676662186164946,0.4425516494752597,0.4927807877577296,0.828094362422596,0.8013978370689109,0.8531619798434147,0.2845206799951105,0.2684120159688647,0.3006315830530525
