scenario,train_input,test_input,balanced_accuracy_mean,balanced_accuracy_std,n_folds
aperiodic_only,full_log_psd,full_log_psd,0.993,0.006,5
aperiodic_only,full_log_psd,aperiodic_spectrum,0.994,0.006,5
aperiodic_only,full_log_psd,flattened_log_psd,0.500,0.000,5
aperiodic_only,aperiodic_spectrum,full_log_psd,0.995,0.005,5
aperiodic_only,aperiodic_spectrum,aperiodic_spectrum,0.994,0.006,5
aperiodic_only,aperiodic_spectrum,flattened_log_psd,0.500,0.000,5
aperiodic_only,flattened_log_psd,full_log_psd,0.500,0.000,5
aperiodic_only,flattened_log_psd,aperiodic_spectrum,0.500,0.000,5
aperiodic_only,flattened_log_psd,flattened_log_psd,0.497,0.015,5
oscillatory_only,full_log_psd,full_log_psd,1.000,0.000,5
oscillatory_only,full_log_psd,aperiodic_spectrum,0.497,0.021,5
oscillatory_only,full_log_psd,flattened_log_psd,1.000,0.000,5
oscillatory_only,aperiodic_spectrum,full_log_psd,0.407,0.038,5
oscillatory_only,aperiodic_spectrum,aperiodic_spectrum,0.496,0.014,5
oscillatory_only,aperiodic_spectrum,flattened_log_psd,0.500,0.000,5
oscillatory_only,flattened_log_psd,full_log_psd,1.000,0.000,5
oscillatory_only,flattened_log_psd,aperiodic_spectrum,0.499,0.003,5
oscillatory_only,flattened_log_psd,flattened_log_psd,1.000,0.000,5
mixed,full_log_psd,full_log_psd,1.000,0.000,5
mixed,full_log_psd,aperiodic_spectrum,0.964,0.023,5
mixed,full_log_psd,flattened_log_psd,1.000,0.000,5
mixed,aperiodic_spectrum,full_log_psd,0.988,0.008,5
mixed,aperiodic_spectrum,aperiodic_spectrum,0.973,0.015,5
mixed,aperiodic_spectrum,flattened_log_psd,0.500,0.000,5
mixed,flattened_log_psd,full_log_psd,1.000,0.000,5
mixed,flattened_log_psd,aperiodic_spectrum,0.614,0.106,5
mixed,flattened_log_psd,flattened_log_psd,1.000,0.000,5
train_confound_test_unconfounded,full_log_psd,full_log_psd,1.000,0.000,5
train_confound_test_unconfounded,full_log_psd,aperiodic_spectrum,0.502,0.006,5
train_confound_test_unconfounded,full_log_psd,flattened_log_psd,1.000,0.000,5
train_confound_test_unconfounded,aperiodic_spectrum,full_log_psd,0.616,0.032,5
train_confound_test_unconfounded,aperiodic_spectrum,aperiodic_spectrum,0.497,0.006,5
train_confound_test_unconfounded,aperiodic_spectrum,flattened_log_psd,0.500,0.000,5
train_confound_test_unconfounded,flattened_log_psd,full_log_psd,1.000,0.000,5
train_confound_test_unconfounded,flattened_log_psd,aperiodic_spectrum,0.500,0.016,5
train_confound_test_unconfounded,flattened_log_psd,flattened_log_psd,1.000,0.000,5
